frame_id,video,cosine,l2,l1,mahalanobis,pearson,embed_ms
1,known,0.524918,0.974764,17.747236,2.843407,0.52665,14.822
3,known,0.494934,1.005054,18.33873,2.925427,0.496562,15.039
4,known,0.495136,1.004852,18.185713,2.920262,0.496702,15.008
5,known,0.473067,1.02658,18.529312,2.972522,0.475014,15.261
6,known,0.514174,0.985724,17.861996,2.851705,0.515149,15.379
7,known,0.510028,0.989921,17.799187,2.846299,0.511216,14.987
8,known,0.515651,0.984224,17.674282,2.820553,0.517335,16.046
9,known,0.50596,0.994022,17.865509,2.871036,0.507414,15.086
10,known,0.519572,0.980233,17.623848,2.816942,0.520168,15.513
11,known,0.49835,1.001649,18.160027,2.870466,0.499126,20.922
12,known,0.517146,0.982704,17.646162,2.846105,0.51804,14.958
13,known,0.515832,0.984041,17.722982,2.849281,0.517638,14.904
14,known,0.495209,1.00478,18.159681,2.893768,0.497337,15.387
15,known,0.510517,0.989428,17.795219,2.822159,0.513009,14.763
16,known,0.500545,0.999455,18.024096,2.91012,0.502218,14.91
24,known,0.478836,1.020945,18.244545,2.942285,0.479537,14.801
25,known,0.473748,1.025916,18.288223,2.95588,0.473841,14.906
30,known,0.471729,1.027882,18.613951,2.927214,0.471948,21.376
141,known,0.44779,1.050914,18.713373,3.095676,0.448958,11.427
142,known,0.48932,1.010623,18.031616,2.963909,0.489295,11.371
143,known,0.444051,1.054466,18.740295,3.049961,0.445178,11.483
144,known,0.44835,1.050381,18.67075,3.012737,0.448607,11.44
145,known,0.40548,1.090431,19.430313,3.09923,0.405268,11.465
146,known,0.424655,1.072702,19.061367,3.021817,0.424718,11.524
147,known,0.405801,1.090137,19.22188,3.061175,0.40677,11.545
148,known,0.45942,1.039788,18.516239,2.962362,0.460022,11.444
149,known,0.448432,1.050303,18.675568,3.012472,0.448662,11.467
150,known,0.473548,1.026111,18.075369,2.981279,0.473475,11.403
151,known,0.479786,1.020014,17.915314,2.992935,0.481835,11.471
152,known,0.532003,0.967467,16.795387,2.851696,0.533566,11.201
153,known,0.53662,0.962684,17.050251,2.839999,0.538015,11.515
154,known,0.501379,0.99862,17.967726,2.905856,0.502403,11.462
155,known,0.538319,0.960917,17.200703,2.83538,0.539468,11.478
156,known,0.537493,0.961776,17.49004,2.842707,0.538841,11.405
157,known,0.538317,0.960919,17.165955,2.837619,0.537304,11.407
158,known,0.539751,0.959426,17.112034,2.81124,0.539696,11.473
159,known,0.527548,0.972062,17.541994,2.855218,0.527142,16.017
160,known,0.51012,0.989828,17.593115,2.904902,0.510242,11.411
161,known,0.521003,0.978772,17.404289,2.891361,0.520664,11.39
162,known,0.535078,0.964284,17.070267,2.861346,0.534194,11.504
163,known,0.52083,0.978948,17.481522,2.891927,0.519721,11.474
164,known,0.495327,1.004662,18.096956,2.98151,0.495001,11.253
165,known,0.505352,0.994633,18.090996,2.93105,0.504365,11.262
166,known,0.494358,1.005626,18.143503,2.972517,0.493751,11.39
167,known,0.484836,1.015051,18.277828,3.023855,0.484751,11.538
168,known,0.524708,0.974979,17.491917,2.889304,0.524155,11.5
169,known,0.508361,0.991604,17.800226,2.909728,0.507807,11.213
170,known,0.531706,0.967775,17.316444,2.867471,0.531533,11.351
171,known,0.517129,0.982721,17.74379,2.92483,0.518775,11.704
172,known,0.517836,0.982002,17.700645,2.884479,0.518307,11.449
173,known,0.527773,0.97183,17.680519,2.863531,0.527335,11.423
174,known,0.553496,0.944991,17.275875,2.810045,0.55302,11.516
175,known,0.551181,0.947438,17.22406,2.805445,0.550389,11.512
176,known,0.532508,0.966946,17.503723,2.860664,0.531759,11.362
177,known,0.543428,0.955586,17.419987,2.826477,0.542984,15.56
178,known,0.553409,0.945083,17.144745,2.811646,0.552658,11.52
179,known,0.514806,0.985083,17.938683,2.916762,0.514394,11.579
180,known,0.552549,0.945992,17.231825,2.832095,0.552341,11.554
181,known,0.525491,0.974176,17.736259,2.902771,0.52512,11.498
182,known,0.51647,0.983392,18.067135,2.935645,0.51636,11.57
183,known,0.514351,0.985544,18.089327,2.924184,0.514054,11.605
184,known,0.553257,0.945244,17.07959,2.845613,0.552897,11.612
185,known,0.565957,0.931711,16.845039,2.804767,0.565626,11.637
186,known,0.567903,0.92962,16.765018,2.817323,0.568403,11.518
187,known,0.552916,0.945604,16.983513,2.837185,0.552963,11.525
188,known,0.571757,0.925465,16.783722,2.788417,0.571404,11.494
189,known,0.542047,0.95703,17.264858,2.876532,0.542442,11.533
190,known,0.558203,0.939997,16.988468,2.842136,0.55903,11.528
